Table,Column,Type,Primary Key,Foreign Key,Nullable,Default,Comment
recipes,calories,NUMERIC,FALSE,,TRUE,,
recipes,carbohydrates,NUMERIC,FALSE,,TRUE,,
recipes,protein,NUMERIC,FALSE,,TRUE,,
recipes,fat,NUMERIC,FALSE,,TRUE,,
recipes,sodium,NUMERIC,FALSE,,TRUE,,
recipes,created_at,TIMESTAMPTZ,FALSE,,FALSE,now(),
recipes,updated_at,TIMESTAMPTZ,FALSE,,FALSE,now(),
recipe_ingredients,id,UUID,TRUE,,FALSE,gen_random_uuid(),
recipe_ingredients,recipe_id,UUID,FALSE,recipes.id,FALSE,,
recipe_ingredients,name,TEXT,FALSE,,FALSE,,
recipe_ingredients,ingredient_name,TEXT,FALSE,,TRUE,,
recipe_ingredients,quantity,NUMERIC,FALSE,,TRUE,,
recipe_ingredients,unit,TEXT,FALSE,,TRUE,,
recipe_ingredients,notes,TEXT,FALSE,,TRUE,,
recipe_ingredients,display_order,INTEGER,FALSE,,FALSE,,
recipe_ingredients,category,ingredient_category,FALSE,,TRUE,'기타',
recipe_ingredients,is_optional,BOOLEAN,FALSE,,TRUE,false,
recipe_ingredients,preparation_note,TEXT,FALSE,,TRUE,,
recipe_ingredients,created_at,TIMESTAMPTZ,FALSE,,FALSE,now(),
recipe_ingredients,updated_at,TIMESTAMPTZ,FALSE,,TRUE,now(),
recipe_steps,id,UUID,TRUE,,FALSE,gen_random_uuid(),
recipe_steps,recipe_id,UUID,FALSE,recipes.id,FALSE,,
recipe_steps,step_number,INTEGER,FALSE,,FALSE,,
recipe_steps,content,TEXT,FALSE,,FALSE,,
recipe_steps,image_url,TEXT,FALSE,,TRUE,,
recipe_steps,video_url,TEXT,FALSE,,TRUE,,
recipe_steps,timer_minutes,INTEGER,FALSE,,TRUE,,
recipe_steps,created_at,TIMESTAMPTZ,FALSE,,FALSE,now(),
weekly_diet_plans,id,UUID,TRUE,,FALSE,gen_random_uuid(),
weekly_diet_plans,user_id,UUID,FALSE,users.id,FALSE,,
weekly_diet_plans,week_start_date,DATE,FALSE,,FALSE,,"주차 시작일 (항상 월요일)"
weekly_diet_plans,week_year,INTEGER,FALSE,,FALSE,,
weekly_diet_plans,week_number,INTEGER,FALSE,,FALSE,,"ISO 8601 주차 번호 (1-53)"
weekly_diet_plans,is_family,BOOLEAN,FALSE,,TRUE,false,"가족 식단 여부"
weekly_diet_plans,total_recipes_count,INTEGER,FALSE,,TRUE,0,
weekly_diet_plans,generation_duration_ms,INTEGER,FALSE,,TRUE,,
weekly_diet_plans,created_at,TIMESTAMPTZ,FALSE,,TRUE,now(),
weekly_diet_plans,updated_at,TIMESTAMPTZ,FALSE,,TRUE,now(),
diet_plans,id,UUID,TRUE,,FALSE,gen_random_uuid(),
diet_plans,user_id,UUID,FALSE,users.id,FALSE,,
diet_plans,family_member_id,UUID,FALSE,family_members.id,TRUE,,
diet_plans,plan_date,DATE,FALSE,,FALSE,,
diet_plans,meal_type,TEXT,FALSE,,FALSE,,"식사 타입: breakfast, lunch, dinner, snack"
diet_plans,recipe_id,UUID,FALSE,recipes.id,TRUE,,
diet_plans,recipe_title,TEXT,FALSE,,FALSE,,
diet_plans,recipe_description,TEXT,FALSE,,TRUE,,
diet_plans,ingredients,JSONB,FALSE,,TRUE,'[]'::jsonb,
diet_plans,instructions,TEXT,FALSE,,TRUE,,
diet_plans,calories,INTEGER,FALSE,,TRUE,,
diet_plans,protein_g,NUMERIC,FALSE,,TRUE,,
diet_plans,carbs_g,NUMERIC,FALSE,,TRUE,,
diet_plans,fat_g,NUMERIC,FALSE,,TRUE,,
diet_plans,sodium_mg,INTEGER,FALSE,,TRUE,,
diet_plans,fiber_g,NUMERIC,FALSE,,TRUE,,
diet_plans,potassium_mg,INTEGER,FALSE,,TRUE,,
diet_plans,phosphorus_mg,INTEGER,FALSE,,TRUE,,
diet_plans,gi_index,NUMERIC,FALSE,,TRUE,,
diet_plans,composition_summary,JSONB,FALSE,,TRUE,'[]'::jsonb,
diet_plans,is_unified,BOOLEAN,FALSE,,TRUE,false,
diet_plans,created_at,TIMESTAMPTZ,FALSE,,TRUE,now(),
diet_plans,weekly_diet_plan_id,UUID,FALSE,weekly_diet_plans.id,TRUE,,
subscriptions,id,UUID,TRUE,,FALSE,gen_random_uuid(),
subscriptions,user_id,UUID,FALSE,users.id,FALSE,,
subscriptions,status,TEXT,FALSE,,FALSE,'inactive',"구독 상태: active, inactive, cancelled, paused"
subscriptions,plan_type,TEXT,FALSE,,FALSE,,
subscriptions,billing_key,TEXT,FALSE,,TRUE,,
subscriptions,payment_method,TEXT,FALSE,,TRUE,,
subscriptions,last_four_digits,TEXT,FALSE,,TRUE,,
subscriptions,started_at,TIMESTAMPTZ,FALSE,,FALSE,,
subscriptions,current_period_start,TIMESTAMPTZ,FALSE,,FALSE,,
subscriptions,current_period_end,TIMESTAMPTZ,FALSE,,FALSE,,
subscriptions,cancelled_at,TIMESTAMPTZ,FALSE,,TRUE,,
subscriptions,price_per_month,INTEGER,FALSE,,FALSE,,
subscriptions,total_paid,INTEGER,FALSE,,TRUE,0,
subscriptions,is_test_mode,BOOLEAN,FALSE,,TRUE,false,
subscriptions,created_at,TIMESTAMPTZ,FALSE,,TRUE,now(),
subscriptions,updated_at,TIMESTAMPTZ,FALSE,,TRUE,now(),

